labels,text
2,"Entran a la oficina y dicen ""Sólo les voy a pagar a las que no vienen con escotes pronunciados""."
1,"@mamutida @Malfitan0 ¡gracias por el saludo! Jonasito está calentando la voz para entonar el ""feliz cumpleaños"" a lo Wagner"
1,Se viene algo bueno #Navidad #Imelda #Tronconavideño #Fresas #frambuesas #blueberries @ Imelda
1,Alejarse de personas y de pensamientos negativos hace que cosas espectaculares sucedan en nuestra vida a pesar de que no nos demos cuenta
1,"Tomar distancia de las cosas negativas nos hace crear un espacio, un vacío para que cosas positivas y mejores lleguen a nosotros"
1,@cracks_oficial bueno felicidades por el millon de crack que hay en el canal !! soy un suscriptor ya un poco antiguo a por mas DE PERU
2,@YamileUc pos yo no sabia pensamos que ya se habían ido pero luis vio el mensaje y corrio jaja y yo ni podia seguirle el paso ja
2,"@MexicoFER Obama, Putin, autoridades de Japón y las economías más grandes del mundo están en la ciudad de los reyes, corresponsal LDD"
0,@AriadnaPacheco5 jajajaja yo tambien estoy castigada pero tu fumas en tu casa y yo en la mia ajajajajajaja asi estaremos conectadas
2,"Bueno yo puse todo de mi parte, paso siguiente: descartar lo pensado. Después que no me salga con que no lo intente. Bless"
0,"No es bonito tener que leer 3 capítulos de fármaco para tu pasito, luego leer inmuno para ener y finalmente terminar tu trabajo final"
2,@MelissaPeschier JAJAJAJA No seria nada raro que el que maneje esa combi tenga como chófer a H.Becerril y a M.Mulder como cobrador.
2,"@efecuadros Yo soy tu sangre mi viejo, yooo, soy tu silencio y tu tiempo. Esta canción la cantaba todos los días de chiquita!"
2,"@luquenukem pucha, yo completé el pokedex Perú, solo me faltan los regionales que dudo los consiga y a esperar los legendarios"
2,@HelpDmsOfIdois uno con tyler posey porfavor
2,"@WilssONLY jajajaa sii, aunque acabo en un año comunica y convalido mis 3 años de derecho, sumado a los electicos que iré llevando"
0,"Era un señor de edad y eso. Y pues, es entendible. Pero que feo y difícil debe ser vivir eso"
2,"aveces la vida nos sorprende , con buenas cosas y malas cosas pero a mi me esta sorprendiendo con lo que mas quiero"
0,#ElPeorAmigoSecretoEs el que le dice a todos quien es su amigo secreto o el que te regala un caramelo diminuto que venció hace 2 meses
2,"Bueno, Yixing tuvo pocas líneas como siempre, pero no voy a andar de pesada. Al menos no esta vez"
0,Mamá! No más paneton! No ves que ya he bajado como 8 kilos quieres que los suba en dos días?
2,@PaIestina @CDPalestinoSADP @arayamas @mauroabughosh @palestinalibre quiero un polo así
2,"Muy tentada de agarrar el carro, manejar un rato al sur, estar en la playita y luego volver. Pero son la una"
2,Que mensajito alentador me mandaron
0,Ptmr hoy se presenta trébol clan y recuerdo que en gotica se presentó y fue la última vez que lo vi y hice mi cagada claro
2,"Es raro que le sigan dando like a mi comentarios de octubre, pero me recuerda por qué lo puse"
2,No te diré porque duele tanto sé que no quieres saber lo que pienso ni lo que diré ni mis motivos Tu eres realmente bueno para mi
0,Yo dije que ayer no debí salir pero es que AGGGGG matenme solol soy un ser humano pero esta vez sí LA cague BIEN feo
1,"Ayer mi profe me ubicó y fue genial hablar de tantos proyectos, en verdad de la nada nos encontramos con personas que nos motivan"
0,Todo pudo ser tan bonito
2,"Hoy es feriado y el trafico será menos, igual o mayor en Lima, allá vamos con Fe"
2,"Tengo conocidos y familiares que votaron por #Keiko, pero en estos 5 meses la mayoría siente que cometió un error, lo cual me alegra"
2,Yo quiero una familia así #ModernFamily
1,"Mi bebé primero reniega porque tiene hambre, y cuando ya comió un montón, reniega porque está muy llena. La más linda es"
2,"Estoy con todos los sentimientos, odio las despedidas y hoy estaré muy emocional. Con fe mi último día aquí y nuevos retos por venir"
1,Por esos amigos que les dices que estas triste y ya te están planeando las salidas hasta los viajes a futuro con ellos Como los quiero
1,"@LinkinParkPeru sería genial...Tengo q ir cotizando mis órganos por q si es cierto voy si o si, queda sentenciado! #LinkinParkenPeru2017"
0,Me estoy muriendo. Ojalá mi jefa me haga trabajar viernes y sábado en la mañana. Porque cerrar va a ser fatal
2,Que ganas de cagarla y decirle a mis papás que no se quedó donde una amiga si no donde su nuevo novio
1,"Por siempre estarás en los mejores y peores momentos de mi vida, porque en esos precisos momentos siempre estabas, para mi"
2,+ a veces se la pedía prestado se molestó y me la vendió para que no la joda. Ahora ella es la que más la usa
1,"@FerReynaOFICIAL Tambien un buen domingo para ti Fercito, y que tengas una linda semana amigo lleno de aventuras , Saludos de mis tías"
2,Dar gracias y reconocer todo lo que tenemos es el primer paso para tener una vida de plenitud y llena de felicidad. Todo lo demás llegará
0,"He llegado a mi casa (AL FIN), y el dolor del sacro ha empezado a agudirzarse"
1,"@magdyelugaz q lindo verte llevando la alegria a las familias y niños en esas fiestas, espero que la pases lindo amiga Te deseo lo mejor"
2,"Waze renunció a ser guía en le trafico limeño, le llego y se arrancó, Lima y su trafico del mal jaja"
0,"Que ganas de estrellar un ladrillo en la cabeza de mi jefe, tirar la puta computadora por la ventana y quemar el lugar"
0,"Hoy todos en la oficina se han burlado porque le he pedido a mi amigos secreto #PokemonMoon, me siento ""buliado"""
2,"@monicaventas hola Monica, tus libros (versión papel) se venden en Perú? Lo tenemos que dar como lectura obligada a nuestros vendedores"
2,"@PonyGaJr si algo a si parecia, eso fue raro .__. pero es un video, igual sabemos ellos dos estan juntitos y estan bien"
0,Estoy segura que esta fue mi última entrevista a Jaime Saavedra como ministro de Educación. Vamos a perder un gran ministro.
2,".@Taxibeat_Lima hola, envié un correo debido a que mi usuario está supendido. Quisiera me ayuden con el inconveniente. Gracias"
0,@SoyCaracola si lugar de incalculables arrochadas
2,"@elsacasas no lo aprendes ni en el cole, ni en la universidad ni haciendo 100 posgrados. O naces o no. Es congénito"
0,Este mes es muy difícil 1er año de fallecida de mi sobrina cumpleaños de mi Madre y mi hermana
2,fue algo parecido al amor
2,La luna de nuevo #cielodespejado #smp
